"input_data.Gene","input_data.Study","input_data.N","input_data.Coef","input_data.SE","input_data.Pval","input_data.Cancer_type","input_data.Treatment","meta_output.studlab","meta_output.TE","meta_output.seTE","meta_output.statistic","meta_output.pval","meta_output.df","meta_output.lower","meta_output.upper","meta_output.w.common","meta_output.w.random","meta_output.zval","meta_output.w.fixed","meta_summery.Gene","meta_summery.Coef","meta_summery.SE","meta_summery.CI_lower","meta_summery.CI_upper","meta_summery.Pval","meta_summery.I2","meta_summery.Q_Pval"
"CXCL9","ICB_small_Miao",33,-0.17281668149275,0.276831824239745,0.532452942311604,"Kidney","PD-1/PD-L1","ICB_small_Miao",-0.17281668149275,0.276831824239745,-0.624265949073418,0.532452942311604,NA,-0.715397086777172,0.369763723791672,13.0487217628699,13.0487217628699,-0.624265949073418,13.0487217628699,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Riaz",23,-0.170060574469484,0.297777170861956,0.567931785325318,"Melanoma","PD-1/PD-L1","ICB_small_Riaz",-0.170060574469484,0.297777170861956,-0.571100108101709,0.567931785325318,NA,-0.753693104777148,0.41357195583818,11.2776133578377,11.2776133578377,-0.571100108101709,11.2776133578377,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.152464099508596,0.0799593706649947,0.0565504259013178,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.152464099508596,0.0799593706649947,-1.9067696286327,0.0565504259013184,NA,-0.309181586238474,0.0042533872212821,156.408829325806,156.408829325806,-1.9067696286327,156.408829325806,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Mariathasan",195,-0.152241223935238,0.080618952078234,0.0589716143736725,"Bladder","PD-1/PD-L1","ICB_small_Mariathasan",-0.152241223935238,0.080618952078234,-1.88840489749235,0.0589716143736729,NA,-0.310251466479937,0.00576901860946114,153.859990967669,153.859990967669,-1.88840489749235,153.859990967669,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Padron",45,-0.138919779427404,0.166819473723013,0.404982821899899,"Pancreas","PD-1/PD-L1","ICB_small_Padron",-0.138919779427404,0.166819473723013,-0.832755171366062,0.404982821899899,NA,-0.465879939844435,0.188040380989627,35.9340780255913,35.9340780255913,-0.832755171366062,35.9340780255913,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Padron",45,-0.132830264939903,0.195871614454271,0.497676818985105,"Pancreas","PD-1/PD-L1","ICB_small_Padron",-0.132830264939903,0.195871614454271,-0.678149640569354,0.497676818985106,NA,-0.516731574863989,0.251071044984183,26.0649558751662,26.0649558751662,-0.678149640569354,26.0649558751662,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Liu",74,-0.0986451286066084,0.167919897260177,0.556899182666442,"Melanoma","PD-1/PD-L1","ICB_small_Liu",-0.0986451286066084,0.167919897260177,-0.587453483572388,0.556899182666442,NA,-0.427762079524221,0.230471822311005,35.4646501736062,35.4646501736062,-0.587453483572388,35.4646501736062,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Liu",74,-0.0959589587691065,0.181847363771674,0.597714807546367,"Melanoma","PD-1/PD-L1","ICB_small_Liu",-0.0959589587691065,0.181847363771674,-0.527689578660001,0.597714807546366,NA,-0.452373242445141,0.260455324906928,30.2402920422397,30.2402920422397,-0.527689578660001,30.2402920422397,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Liu",74,-0.0937556562352482,0.169102044009588,0.579282940749847,"Melanoma","PD-1/PD-L1","ICB_small_Liu",-0.0937556562352482,0.169102044009588,-0.554432424423754,0.579282940749846,NA,-0.425189572206148,0.237678259735651,34.9705357468914,34.9705357468914,-0.554432424423754,34.9705357468914,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Liu",74,-0.0930575328223617,0.176626160872124,0.598289736848306,"Melanoma","PD-1/PD-L1","ICB_small_Liu",-0.0930575328223617,0.176626160872124,-0.526861549630435,0.598289736848306,NA,-0.439238446859302,0.253123381214579,32.0545689756625,32.0545689756625,-0.526861549630435,32.0545689756625,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Miao",33,-0.0772959872669841,0.218735142169052,0.723805761438745,"Kidney","PD-1/PD-L1","ICB_small_Miao",-0.0772959872669841,0.218735142169052,-0.353377086555415,0.723805761438745,NA,-0.506008988071574,0.351417013537606,20.9007983149361,20.9007983149361,-0.353377086555415,20.9007983149361,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
"CXCL9","ICB_small_Miao",33,-0.0567656377266189,0.225527066672684,0.801271328755207,"Kidney","PD-1/PD-L1","ICB_small_Miao",-0.0567656377266189,0.225527066672684,-0.251702106377347,0.801271328755208,NA,-0.498790565944043,0.385259290490805,19.6608666433923,19.6608666433923,-0.251702106377347,19.6608666433923,"CXCL9",-0.204997364076111,0.0195256179797634,-0.243266872092335,-0.166727856059887,8.73994915445052e-26,0.00932334859923828,0.455476186246775
