"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"ALCAM","HAVANA","gene",NA,NA,"ENSG00000170017.8","protein_coding","ALCAM","2","OTTHUMG00000159192.2",NA,"ENSG00000170017",NA
"SERPINA6","HAVANA","gene",NA,NA,"ENSG00000170099.5","protein_coding","SERPINA6","2","OTTHUMG00000171346.1",NA,"ENSG00000170099",NA
"CMTM8","HAVANA","gene",NA,NA,"ENSG00000170293.4","protein_coding","CMTM8","2","OTTHUMG00000130753.2","ncRNA_host","ENSG00000170293",NA
"CDK1","HAVANA","gene",NA,NA,"ENSG00000170312.11","protein_coding","CDK1","2","OTTHUMG00000018290.4",NA,"ENSG00000170312",NA
"FABP4","HAVANA","gene",NA,NA,"ENSG00000170323.4","protein_coding","FABP4","2","OTTHUMG00000164602.2",NA,"ENSG00000170323",NA
"FOS","HAVANA","gene",NA,NA,"ENSG00000170345.5","protein_coding","FOS","1","OTTHUMG00000171774.2",NA,"ENSG00000170345",NA
"ADORA2B","HAVANA","gene",NA,NA,"ENSG00000170425.3","protein_coding","ADORA2B","2","OTTHUMG00000059140.2",NA,"ENSG00000170425",NA
"CD14","HAVANA","gene",NA,NA,"ENSG00000170458.9","protein_coding","CD14","1","OTTHUMG00000129507.3",NA,"ENSG00000170458",NA
"NUDT9","HAVANA","gene",NA,NA,"ENSG00000170502.8","protein_coding","NUDT9","2","OTTHUMG00000130591.3",NA,"ENSG00000170502",NA
"CDH2","HAVANA","gene",NA,NA,"ENSG00000170558.4","protein_coding","CDH2","1","OTTHUMG00000059940.10",NA,"ENSG00000170558",NA
"HSPA4","HAVANA","gene",NA,NA,"ENSG00000170606.9","protein_coding","HSPA4","2","OTTHUMG00000129012.2",NA,"ENSG00000170606",NA
"HTRA3","HAVANA","gene",NA,NA,"ENSG00000170801.5","protein_coding","HTRA3","2","OTTHUMG00000090561.5",NA,"ENSG00000170801",NA
"PPM1D","HAVANA","gene",NA,NA,"ENSG00000170836.7","protein_coding","PPM1D","1","OTTHUMG00000180052.1",NA,"ENSG00000170836",NA
"CYTL1","HAVANA","gene",NA,NA,"ENSG00000170891.6","protein_coding","CYTL1","1","OTTHUMG00000125479.3",NA,"ENSG00000170891",NA
"TRH","HAVANA","gene",NA,NA,"ENSG00000170893.3","protein_coding","TRH","1","OTTHUMG00000159634.3",NA,"ENSG00000170893",NA
"HAS2","HAVANA","gene",NA,NA,"ENSG00000170961.6","protein_coding","HAS2","2","OTTHUMG00000164953.2",NA,"ENSG00000170961",NA
"S1PR1","HAVANA","gene",NA,NA,"ENSG00000170989.8","protein_coding","S1PR1","2","OTTHUMG00000010835.1",NA,"ENSG00000170989",NA
"FPR2","HAVANA","gene",NA,NA,"ENSG00000171049.8","protein_coding","FPR2","2","OTTHUMG00000183501.2",NA,"ENSG00000171049",NA
"FPR1","HAVANA","gene",NA,NA,"ENSG00000171051.4","protein_coding","FPR1","2","OTTHUMG00000183500.2",NA,"ENSG00000171051",NA
"C1GALT1C1","HAVANA","gene",NA,NA,"ENSG00000171155.7","protein_coding","C1GALT1C1","2","OTTHUMG00000022305.1",NA,"ENSG00000171155",NA
"JUNB","HAVANA","gene",NA,NA,"ENSG00000171223.4","protein_coding","JUNB","2","OTTHUMG00000180373.1",NA,"ENSG00000171223",NA
"CHST11","HAVANA","gene",NA,NA,"ENSG00000171310.6","protein_coding","CHST11","2","OTTHUMG00000169803.2","ncRNA_host","ENSG00000171310",NA
"ESCO2","HAVANA","gene",NA,NA,"ENSG00000171320.10","protein_coding","ESCO2","2","OTTHUMG00000163901.1","ncRNA_host","ENSG00000171320",NA
"KRT13","HAVANA","gene",NA,NA,"ENSG00000171401.10","protein_coding","KRT13","2","OTTHUMG00000133434.3",NA,"ENSG00000171401",NA
"DSEL","HAVANA","gene",NA,NA,"ENSG00000171451.13","protein_coding","DSEL","2","OTTHUMG00000132804.2",NA,"ENSG00000171451",NA
"HOPX","HAVANA","gene",NA,NA,"ENSG00000171476.17","protein_coding","HOPX","2","OTTHUMG00000128768.12",NA,"ENSG00000171476",NA
"TCEA2","HAVANA","gene",NA,NA,"ENSG00000171703.12","protein_coding","TCEA2","2","OTTHUMG00000033026.3",NA,"ENSG00000171703",NA
"DEFB4A","HAVANA","gene",NA,NA,"ENSG00000171711.2","protein_coding","DEFB4A","2","OTTHUMG00000129314.1",NA,"ENSG00000171711",NA
"RRM2","HAVANA","gene",NA,NA,"ENSG00000171848.9","protein_coding","RRM2","2","OTTHUMG00000090449.5",NA,"ENSG00000171848",NA
"C3AR1","HAVANA","gene",NA,NA,"ENSG00000171860.4","protein_coding","C3AR1","2","OTTHUMG00000168569.1",NA,"ENSG00000171860",NA
"CYP4F11","HAVANA","gene",NA,NA,"ENSG00000171903.12","protein_coding","CYP4F11","2","OTTHUMG00000182294.3",NA,"ENSG00000171903",NA
"TLN2","HAVANA","gene",NA,NA,"ENSG00000171914.10","protein_coding","TLN2","1","OTTHUMG00000133679.4","ncRNA_host","ENSG00000171914",NA
"SCG2","HAVANA","gene",NA,NA,"ENSG00000171951.4","protein_coding","SCG2","2","OTTHUMG00000133166.2",NA,"ENSG00000171951",NA
"LAMB2","HAVANA","gene",NA,NA,"ENSG00000172037.9","protein_coding","LAMB2","2","OTTHUMG00000156807.3",NA,"ENSG00000172037",NA
"KLF11","HAVANA","gene",NA,NA,"ENSG00000172059.6","protein_coding","KLF11","1","OTTHUMG00000119004.4",NA,"ENSG00000172059",NA
"LRRC15","HAVANA","gene",NA,NA,"ENSG00000172061.7","protein_coding","LRRC15","2","OTTHUMG00000156048.2",NA,"ENSG00000172061",NA
"CD8B","HAVANA","gene",NA,NA,"ENSG00000172116.17","protein_coding","CD8B","2","OTTHUMG00000130264.6",NA,"ENSG00000172116",NA
"SLC9C1","HAVANA","gene",NA,NA,"ENSG00000172139.10","protein_coding","SLC9C1","2","OTTHUMG00000159245.2",NA,"ENSG00000172139",NA
"CCL11","HAVANA","gene",NA,NA,"ENSG00000172156.3","protein_coding","CCL11","2","OTTHUMG00000132884.2",NA,"ENSG00000172156",NA
"ISG20","HAVANA","gene",NA,NA,"ENSG00000172183.10","protein_coding","ISG20","1","OTTHUMG00000148679.2",NA,"ENSG00000172183",NA
"CXCR6","HAVANA","gene",NA,NA,"ENSG00000172215.5","protein_coding","CXCR6","2","OTTHUMG00000133448.2",NA,"ENSG00000172215",NA
"CEBPB","HAVANA","gene",NA,NA,"ENSG00000172216.4","protein_coding","CEBPB","2","OTTHUMG00000032715.1",NA,"ENSG00000172216",NA
"CLEC7A","HAVANA","gene",NA,NA,"ENSG00000172243.13","protein_coding","CLEC7A","2","OTTHUMG00000133597.4",NA,"ENSG00000172243",NA
"NEGR1","HAVANA","gene",NA,NA,"ENSG00000172260.9","protein_coding","NEGR1","2","OTTHUMG00000009698.5",NA,"ENSG00000172260",NA
"ARNT2","HAVANA","gene",NA,NA,"ENSG00000172379.14","protein_coding","ARNT2","1","OTTHUMG00000165478.7","ncRNA_host","ENSG00000172379",NA
"ACOT12","HAVANA","gene",NA,NA,"ENSG00000172497.4","protein_coding","ACOT12","2","OTTHUMG00000131305.3",NA,"ENSG00000172497",NA
"CTSW","HAVANA","gene",NA,NA,"ENSG00000172543.3","protein_coding","CTSW","2","OTTHUMG00000166663.1",NA,"ENSG00000172543",NA
"KLHL6","HAVANA","gene",NA,NA,"ENSG00000172578.7","protein_coding","KLHL6","2","OTTHUMG00000148673.2",NA,"ENSG00000172578",NA
"EFEMP2","HAVANA","gene",NA,NA,"ENSG00000172638.8","protein_coding","EFEMP2","1","OTTHUMG00000166664.6",NA,"ENSG00000172638",NA
"TMEM217","HAVANA","gene",NA,NA,"ENSG00000172738.7","protein_coding","TMEM217","2","OTTHUMG00000014618.2","ncRNA_host","ENSG00000172738",NA
"RARG","HAVANA","gene",NA,NA,"ENSG00000172819.12","protein_coding","RARG","2","OTTHUMG00000048077.3",NA,"ENSG00000172819",NA
"SP3","HAVANA","gene",NA,NA,"ENSG00000172845.9","protein_coding","SP3","2","OTTHUMG00000132333.3",NA,"ENSG00000172845",NA
"EGFL7","HAVANA","gene",NA,NA,"ENSG00000172889.11","protein_coding","EGFL7","2","OTTHUMG00000020938.4","ncRNA_host","ENSG00000172889",NA
"DHCR7","HAVANA","gene",NA,NA,"ENSG00000172893.11","protein_coding","DHCR7","1","OTTHUMG00000167346.1",NA,"ENSG00000172893",NA
"MYD88","HAVANA","gene",NA,NA,"ENSG00000172936.8","protein_coding","MYD88","1","OTTHUMG00000131083.4",NA,"ENSG00000172936",NA
"GXYLT2","HAVANA","gene",NA,NA,"ENSG00000172986.8","protein_coding","GXYLT2","2","OTTHUMG00000158815.1",NA,"ENSG00000172986",NA
"HSPA6","HAVANA","gene",NA,NA,"ENSG00000173110.6","protein_coding","HSPA6","2","OTTHUMG00000034461.1",NA,"ENSG00000173110",NA
"CYSLTR1","HAVANA","gene",NA,NA,"ENSG00000173198.4","protein_coding","CYSLTR1","2","OTTHUMG00000021889.1",NA,"ENSG00000173198",NA
"ABCD2","HAVANA","gene",NA,NA,"ENSG00000173208.3","protein_coding","ABCD2","2","OTTHUMG00000169337.1",NA,"ENSG00000173208",NA
"OLR1","HAVANA","gene",NA,NA,"ENSG00000173391.4","protein_coding","OLR1","1","OTTHUMG00000168527.1",NA,"ENSG00000173391",NA
"SAA1","HAVANA","gene",NA,NA,"ENSG00000173432.6","protein_coding","SAA1","2","OTTHUMG00000166147.3","ncRNA_host","ENSG00000173432",NA
"TNFRSF10D","HAVANA","gene",NA,NA,"ENSG00000173530.5","protein_coding","TNFRSF10D","2","OTTHUMG00000097845.1",NA,"ENSG00000173530",NA
"XCR1","HAVANA","gene",NA,NA,"ENSG00000173578.6","protein_coding","XCR1","2","OTTHUMG00000133449.2",NA,"ENSG00000173578",NA
"CCR9","HAVANA","gene",NA,NA,"ENSG00000173585.11","protein_coding","CCR9","1","OTTHUMG00000133450.3",NA,"ENSG00000173585",NA
"SUSD5","HAVANA","gene",NA,NA,"ENSG00000173705.4","protein_coding","SUSD5","2","OTTHUMG00000155829.1",NA,"ENSG00000173705",NA
"HEG1","HAVANA","gene",NA,NA,"ENSG00000173706.8","protein_coding","HEG1","1","OTTHUMG00000159486.2",NA,"ENSG00000173706",NA
"JUP","HAVANA","gene",NA,NA,"ENSG00000173801.12","protein_coding","JUP","2","OTTHUMG00000133494.7","ncRNA_host","ENSG00000173801",NA
"RNF213","HAVANA","gene",NA,NA,"ENSG00000173821.15","protein_coding","RNF213","1","OTTHUMG00000161415.7",NA,"ENSG00000173821",NA
"NET1","HAVANA","gene",NA,NA,"ENSG00000173848.14","protein_coding","NET1","2","OTTHUMG00000017596.3",NA,"ENSG00000173848",NA
"DPY19L1","HAVANA","gene",NA,NA,"ENSG00000173852.9","protein_coding","DPY19L1","2","OTTHUMG00000154888.2","ncRNA_host","ENSG00000173852",NA
"HOXB2","HAVANA","gene",NA,NA,"ENSG00000173917.9","protein_coding","HOXB2","2","OTTHUMG00000159930.3",NA,"ENSG00000173917",NA
"SELP","HAVANA","gene",NA,NA,"ENSG00000174175.12","protein_coding","SELP","2","OTTHUMG00000034685.9",NA,"ENSG00000174175",NA
"ZHX3","HAVANA","gene",NA,NA,"ENSG00000174306.17","protein_coding","ZHX3","1","OTTHUMG00000032481.4","ncRNA_host","ENSG00000174306",NA
"PHLDA3","HAVANA","gene",NA,NA,"ENSG00000174307.5","protein_coding","PHLDA3","2","OTTHUMG00000035767.2",NA,"ENSG00000174307",NA
"EXO1","HAVANA","gene",NA,NA,"ENSG00000174371.12","protein_coding","EXO1","1","OTTHUMG00000039965.5",NA,"ENSG00000174371",NA
"TRHR","HAVANA","gene",NA,NA,"ENSG00000174417.2","protein_coding","TRHR","2","OTTHUMG00000164910.1",NA,"ENSG00000174417",NA
"CNTNAP2","HAVANA","gene",NA,NA,"ENSG00000174469.13","protein_coding","CNTNAP2","2","OTTHUMG00000152743.2","ncRNA_host","ENSG00000174469",NA
"IL20RB","HAVANA","gene",NA,NA,"ENSG00000174564.8","protein_coding","IL20RB","2","OTTHUMG00000159779.2",NA,"ENSG00000174564",NA
"CMKLR1","HAVANA","gene",NA,NA,"ENSG00000174600.9","protein_coding","CMKLR1","2","OTTHUMG00000169576.1",NA,"ENSG00000174600",NA
"SLCO2A1","HAVANA","gene",NA,NA,"ENSG00000174640.8","protein_coding","SLCO2A1","1","OTTHUMG00000159745.3",NA,"ENSG00000174640",NA
"GPR171","HAVANA","gene",NA,NA,"ENSG00000174946.5","protein_coding","GPR171","2","OTTHUMG00000159861.1",NA,"ENSG00000174946",NA
"CHST2","HAVANA","gene",NA,NA,"ENSG00000175040.4","protein_coding","CHST2","2","OTTHUMG00000159351.1",NA,"ENSG00000175040",NA
"DES","HAVANA","gene",NA,NA,"ENSG00000175084.7","protein_coding","DES","2","OTTHUMG00000058924.2",NA,"ENSG00000175084",NA
"DDIT3","HAVANA","gene",NA,NA,"ENSG00000175197.6","protein_coding","DDIT3","2","OTTHUMG00000170046.2","ncRNA_host","ENSG00000175197",NA
"TP53I11","HAVANA","gene",NA,NA,"ENSG00000175274.14","protein_coding","TP53I11","1","OTTHUMG00000165714.3",NA,"ENSG00000175274",NA
"CCNE2","HAVANA","gene",NA,NA,"ENSG00000175305.12","protein_coding","CCNE2","2","OTTHUMG00000164696.1",NA,"ENSG00000175305",NA
"CST6","HAVANA","gene",NA,NA,"ENSG00000175315.2","protein_coding","CST6","2","OTTHUMG00000166750.1",NA,"ENSG00000175315",NA
"NRIP3","HAVANA","gene",NA,NA,"ENSG00000175352.6","protein_coding","NRIP3","1","OTTHUMG00000165680.1",NA,"ENSG00000175352",NA
"PCSK1","HAVANA","gene",NA,NA,"ENSG00000175426.6","protein_coding","PCSK1","2","OTTHUMG00000122089.2",NA,"ENSG00000175426",NA
"LPL","HAVANA","gene",NA,NA,"ENSG00000175445.10","protein_coding","LPL","2","OTTHUMG00000036645.6",NA,"ENSG00000175445",NA
"MCTP1","HAVANA","gene",NA,NA,"ENSG00000175471.15","protein_coding","MCTP1","1","OTTHUMG00000162742.7",NA,"ENSG00000175471",NA
"FOSL1","HAVANA","gene",NA,NA,"ENSG00000175592.4","protein_coding","FOSL1","1","OTTHUMG00000166715.2",NA,"ENSG00000175592",NA
"CALCB","HAVANA","gene",NA,NA,"ENSG00000175868.9","protein_coding","CALCB","1","OTTHUMG00000164629.20",NA,"ENSG00000175868",NA
"NUPR1","HAVANA","gene",NA,NA,"ENSG00000176046.7","protein_coding","NUPR1","1","OTTHUMG00000131764.2",NA,"ENSG00000176046",NA
"YES1","HAVANA","gene",NA,NA,"ENSG00000176105.9","protein_coding","YES1","2","OTTHUMG00000131472.8","ncRNA_host","ENSG00000176105",NA
"GPX2","HAVANA","gene",NA,NA,"ENSG00000176153.10","protein_coding","GPX2","2","OTTHUMG00000171677.1",NA,"ENSG00000176153",NA
"FOXG1","HAVANA","gene",NA,NA,"ENSG00000176165.7","protein_coding","FOXG1","2","OTTHUMG00000140187.3",NA,"ENSG00000176165",NA
"BNIP3","HAVANA","gene",NA,NA,"ENSG00000176171.7","protein_coding","BNIP3","2","OTTHUMG00000019278.1",NA,"ENSG00000176171",NA
"MYO1D","HAVANA","gene",NA,NA,"ENSG00000176658.12","protein_coding","MYO1D","1","OTTHUMG00000179636.2","ncRNA_host","ENSG00000176658",NA
"FOXC2","HAVANA","gene",NA,NA,"ENSG00000176692.4","protein_coding","FOXC2","2","OTTHUMG00000137652.2",NA,"ENSG00000176692",NA
"BDNF","HAVANA","gene",NA,NA,"ENSG00000176697.14","protein_coding","BDNF","2","OTTHUMG00000178797.1",NA,"ENSG00000176697",NA
"ACSF3","HAVANA","gene",NA,NA,"ENSG00000176715.11","protein_coding","ACSF3","1","OTTHUMG00000138044.8",NA,"ENSG00000176715",NA
"CDK5R1","HAVANA","gene",NA,NA,"ENSG00000176749.4","protein_coding","CDK5R1","2","OTTHUMG00000132814.2",NA,"ENSG00000176749",NA
"SOX11","HAVANA","gene",NA,NA,"ENSG00000176887.5","protein_coding","SOX11","2","OTTHUMG00000090333.1",NA,"ENSG00000176887",NA
"TYMS","HAVANA","gene",NA,NA,"ENSG00000176890.11","protein_coding","TYMS","1","OTTHUMG00000131473.5",NA,"ENSG00000176890",NA
"C8G","HAVANA","gene",NA,NA,"ENSG00000176919.7","protein_coding","C8G","2","OTTHUMG00000020955.1",NA,"ENSG00000176919",NA
"GCNT4","HAVANA","gene",NA,NA,"ENSG00000176928.4","protein_coding","GCNT4","2","OTTHUMG00000131272.1",NA,"ENSG00000176928",NA
"POLE","HAVANA","gene",NA,NA,"ENSG00000177084.12","protein_coding","POLE","1","OTTHUMG00000168045.2",NA,"ENSG00000177084",NA
"TRIM72","HAVANA","gene",NA,NA,"ENSG00000177238.9","protein_coding","TRIM72","2","OTTHUMG00000176754.1",NA,"ENSG00000177238",NA
"CD19","HAVANA","gene",NA,NA,"ENSG00000177455.7","protein_coding","CD19","2","OTTHUMG00000097049.3",NA,"ENSG00000177455",NA
"ACOT4","HAVANA","gene",NA,NA,"ENSG00000177465.4","protein_coding","ACOT4","2","OTTHUMG00000169485.2",NA,"ENSG00000177465",NA
"ZBED2","HAVANA","gene",NA,NA,"ENSG00000177494.5","protein_coding","ZBED2","2","OTTHUMG00000074061.2",NA,"ENSG00000177494",NA
"CD163","HAVANA","gene",NA,NA,"ENSG00000177575.8","protein_coding","CD163","1","OTTHUMG00000168353.2",NA,"ENSG00000177575",NA
"RPLP2","HAVANA","gene",NA,NA,"ENSG00000177600.4","protein_coding","RPLP2","2","OTTHUMG00000133317.4","ncRNA_host","ENSG00000177600",NA
"JUN","HAVANA","gene",NA,NA,"ENSG00000177606.5","protein_coding","JUN","2","OTTHUMG00000008376.1",NA,"ENSG00000177606",NA
"GRB2","HAVANA","gene",NA,NA,"ENSG00000177885.9","protein_coding","GRB2","1","OTTHUMG00000134332.2",NA,"ENSG00000177885",NA
"SPINK6","HAVANA","gene",NA,NA,"ENSG00000178172.2","protein_coding","SPINK6","2","OTTHUMG00000163425.1",NA,"ENSG00000178172",NA
"AMBN","HAVANA","gene",NA,NA,"ENSG00000178522.10","protein_coding","AMBN","2","OTTHUMG00000129913.2",NA,"ENSG00000178522",NA
"SLC25A20","HAVANA","gene",NA,NA,"ENSG00000178537.5","protein_coding","SLC25A20","1","OTTHUMG00000133538.2",NA,"ENSG00000178537",NA
"MAF","HAVANA","gene",NA,NA,"ENSG00000178573.6","protein_coding","MAF","2","OTTHUMG00000137621.3",NA,"ENSG00000178573",NA
"KCTD12","HAVANA","gene",NA,NA,"ENSG00000178695.4","protein_coding","KCTD12","2","OTTHUMG00000017096.2","ncRNA_host","ENSG00000178695",NA
"RPP25","HAVANA","gene",NA,NA,"ENSG00000178718.5","protein_coding","RPP25","2","OTTHUMG00000142822.2",NA,"ENSG00000178718",NA
"THBD","HAVANA","gene",NA,NA,"ENSG00000178726.6","protein_coding","THBD","2","OTTHUMG00000032053.2",NA,"ENSG00000178726",NA
"GP5","HAVANA","gene",NA,NA,"ENSG00000178732.4","protein_coding","GP5","2","OTTHUMG00000150345.1",NA,"ENSG00000178732",NA
"CPNE7","HAVANA","gene",NA,NA,"ENSG00000178773.10","protein_coding","CPNE7","1","OTTHUMG00000138051.4",NA,"ENSG00000178773",NA
"FUCA1","HAVANA","gene",NA,NA,"ENSG00000179163.11","protein_coding","FUCA1","2","OTTHUMG00000002965.2",NA,"ENSG00000179163",NA
"CALR","HAVANA","gene",NA,NA,"ENSG00000179218.9","protein_coding","CALR","2","OTTHUMG00000180574.1",NA,"ENSG00000179218",NA
"PTPN11","HAVANA","gene",NA,NA,"ENSG00000179295.11","protein_coding","PTPN11","2","OTTHUMG00000134334.2",NA,"ENSG00000179295",NA
"HLA-DQB1","HAVANA","gene",NA,NA,"ENSG00000179344.12","protein_coding","HLA-DQB1","1","OTTHUMG00000031124.3",NA,"ENSG00000179344",NA
"ARID3B","HAVANA","gene",NA,NA,"ENSG00000179361.13","protein_coding","ARID3B","1","OTTHUMG00000141321.2",NA,"ENSG00000179361",NA
"EGR3","HAVANA","gene",NA,NA,"ENSG00000179388.8","protein_coding","EGR3","2","OTTHUMG00000097825.2",NA,"ENSG00000179388",NA
"FJX1","HAVANA","gene",NA,NA,"ENSG00000179431.5","protein_coding","FJX1","2","OTTHUMG00000166310.1",NA,"ENSG00000179431",NA
"ALOX15B","HAVANA","gene",NA,NA,"ENSG00000179593.11","protein_coding","ALOX15B","1","OTTHUMG00000108181.3",NA,"ENSG00000179593",NA
"PCED1B","HAVANA","gene",NA,NA,"ENSG00000179715.8","protein_coding","PCED1B","2","OTTHUMG00000169617.1","ncRNA_host","ENSG00000179715",NA
"APOBEC3B","HAVANA","gene",NA,NA,"ENSG00000179750.11","protein_coding","APOBEC3B","1","OTTHUMG00000151085.1",NA,"ENSG00000179750",NA
"CDH5","HAVANA","gene",NA,NA,"ENSG00000179776.13","protein_coding","CDH5","1","OTTHUMG00000137495.7",NA,"ENSG00000179776",NA
"TH","HAVANA","gene",NA,NA,"ENSG00000180176.10","protein_coding","TH","2","OTTHUMG00000009559.5",NA,"ENSG00000180176",NA
"FZD2","HAVANA","gene",NA,NA,"ENSG00000180340.5","protein_coding","FZD2","2","OTTHUMG00000181819.1",NA,"ENSG00000180340",NA
"HCLS1","HAVANA","gene",NA,NA,"ENSG00000180353.6","protein_coding","HCLS1","2","OTTHUMG00000159409.2","ncRNA_host","ENSG00000180353",NA
"CYP8B1","HAVANA","gene",NA,NA,"ENSG00000180432.4","protein_coding","CYP8B1","1","OTTHUMG00000133047.2",NA,"ENSG00000180432",NA
"GAS1","HAVANA","gene",NA,NA,"ENSG00000180447.5","protein_coding","GAS1","2","OTTHUMG00000020141.1",NA,"ENSG00000180447",NA
"NRIP1","HAVANA","gene",NA,NA,"ENSG00000180530.5","protein_coding","NRIP1","2","OTTHUMG00000074323.1",NA,"ENSG00000180530",NA
"RNF182","HAVANA","gene",NA,NA,"ENSG00000180537.8","protein_coding","RNF182","2","OTTHUMG00000014280.2",NA,"ENSG00000180537",NA
"MB21D2","HAVANA","gene",NA,NA,"ENSG00000180611.6","protein_coding","MB21D2","2","OTTHUMG00000155768.1",NA,"ENSG00000180611",NA
"PRF1","HAVANA","gene",NA,NA,"ENSG00000180644.6","protein_coding","PRF1","2","OTTHUMG00000018412.2",NA,"ENSG00000180644",NA
"CXCR2","HAVANA","gene",NA,NA,"ENSG00000180871.3","protein_coding","CXCR2","2","OTTHUMG00000133107.2",NA,"ENSG00000180871",NA
"OXTR","HAVANA","gene",NA,NA,"ENSG00000180914.6","protein_coding","OXTR","2","OTTHUMG00000090537.2",NA,"ENSG00000180914",NA
"FCRL6","HAVANA","gene",NA,NA,"ENSG00000181036.9","protein_coding","FCRL6","2","OTTHUMG00000035351.4",NA,"ENSG00000181036",NA
"ADIPOQ","HAVANA","gene",NA,NA,"ENSG00000181092.5","protein_coding","ADIPOQ","2","OTTHUMG00000156521.2",NA,"ENSG00000181092",NA
"F2R","HAVANA","gene",NA,NA,"ENSG00000181104.6","protein_coding","F2R","2","OTTHUMG00000131299.2",NA,"ENSG00000181104",NA
"CCL13","HAVANA","gene",NA,NA,"ENSG00000181374.3","protein_coding","CCL13","1","OTTHUMG00000132890.2",NA,"ENSG00000181374",NA
"TMEM45A","HAVANA","gene",NA,NA,"ENSG00000181458.6","protein_coding","TMEM45A","1","OTTHUMG00000150327.3",NA,"ENSG00000181458",NA
"ACBD4","HAVANA","gene",NA,NA,"ENSG00000181513.10","protein_coding","ACBD4","2","OTTHUMG00000180111.2",NA,"ENSG00000181513",NA
"TIGIT","HAVANA","gene",NA,NA,"ENSG00000181847.7","protein_coding","TIGIT","2","OTTHUMG00000159331.1",NA,"ENSG00000181847",NA
"RTKN2","HAVANA","gene",NA,NA,"ENSG00000182010.6","protein_coding","RTKN2","2","OTTHUMG00000018299.5",NA,"ENSG00000182010",NA
"C1S","HAVANA","gene",NA,NA,"ENSG00000182326.10","protein_coding","C1S","1","OTTHUMG00000150305.3",NA,"ENSG00000182326",NA
"BGN","HAVANA","gene",NA,NA,"ENSG00000182492.11","protein_coding","BGN","2","OTTHUMG00000024205.3",NA,"ENSG00000182492",NA
"EPGN","HAVANA","gene",NA,NA,"ENSG00000182585.5","protein_coding","EPGN","2","OTTHUMG00000160869.1",NA,"ENSG00000182585",NA
"NTM","HAVANA","gene",NA,NA,"ENSG00000182667.10","protein_coding","NTM","1","OTTHUMG00000066364.15","ncRNA_host","ENSG00000182667",NA
"ANXA2","HAVANA","gene",NA,NA,"ENSG00000182718.12","protein_coding","ANXA2","1","OTTHUMG00000132763.2",NA,"ENSG00000182718",NA
"LCK","HAVANA","gene",NA,NA,"ENSG00000182866.12","protein_coding","LCK","2","OTTHUMG00000007463.5",NA,"ENSG00000182866",NA
"COL18A1","HAVANA","gene",NA,NA,"ENSG00000182871.10","protein_coding","COL18A1","1","OTTHUMG00000090407.4",NA,"ENSG00000182871",NA
"RGS7","HAVANA","gene",NA,NA,"ENSG00000182901.11","protein_coding","RGS7","2","OTTHUMG00000040107.4",NA,"ENSG00000182901",NA
"TCEAL7","HAVANA","gene",NA,NA,"ENSG00000182916.7","protein_coding","TCEAL7","2","OTTHUMG00000022096.1",NA,"ENSG00000182916",NA
"CADM1","HAVANA","gene",NA,NA,"ENSG00000182985.12","protein_coding","CADM1","1","OTTHUMG00000168202.6",NA,"ENSG00000182985",NA
"GPC6","HAVANA","gene",NA,NA,"ENSG00000183098.6","protein_coding","GPC6","2","OTTHUMG00000017205.4",NA,"ENSG00000183098",NA
"CCBE1","HAVANA","gene",NA,NA,"ENSG00000183287.9","protein_coding","CCBE1","2","OTTHUMG00000180087.3",NA,"ENSG00000183287",NA
"GBP6","HAVANA","gene",NA,NA,"ENSG00000183347.13","protein_coding","GBP6","2","OTTHUMG00000010123.1",NA,"ENSG00000183347",NA
"FHL3","HAVANA","gene",NA,NA,"ENSG00000183386.5","protein_coding","FHL3","2","OTTHUMG00000004434.2",NA,"ENSG00000183386",NA
"PMCH","HAVANA","gene",NA,NA,"ENSG00000183395.4","protein_coding","PMCH","2","OTTHUMG00000170479.1",NA,"ENSG00000183395",NA
"FBXL7","HAVANA","gene",NA,NA,"ENSG00000183580.8","protein_coding","FBXL7","2","OTTHUMG00000161798.1","ncRNA_host","ENSG00000183580",NA
"SCN5A","HAVANA","gene",NA,NA,"ENSG00000183873.11","protein_coding","SCN5A","1","OTTHUMG00000156166.3",NA,"ENSG00000183873",NA
"TBX1","HAVANA","gene",NA,NA,"ENSG00000184058.8","protein_coding","TBX1","2","OTTHUMG00000150421.2",NA,"ENSG00000184058",NA
"ADAP2","HAVANA","gene",NA,NA,"ENSG00000184060.6","protein_coding","ADAP2","1","OTTHUMG00000132868.3",NA,"ENSG00000184060",NA
"KCNJ12","HAVANA","gene",NA,NA,"ENSG00000184185.5","protein_coding","KCNJ12","2","OTTHUMG00000132039.2",NA,"ENSG00000184185",NA
"ACOT1","HAVANA","gene",NA,NA,"ENSG00000184227.3","protein_coding","ACOT1","2","OTTHUMG00000171607.1",NA,"ENSG00000184227",NA
"ALDH1A3","HAVANA","gene",NA,NA,"ENSG00000184254.12","protein_coding","ALDH1A3","2","OTTHUMG00000186439.1",NA,"ENSG00000184254",NA
"PKP3","HAVANA","gene",NA,NA,"ENSG00000184363.5","protein_coding","PKP3","2","OTTHUMG00000119068.4",NA,"ENSG00000184363",NA
"KNTC1","HAVANA","gene",NA,NA,"ENSG00000184445.7","protein_coding","KNTC1","1","OTTHUMG00000168861.5",NA,"ENSG00000184445",NA
